#META,2025,N/A,0
Academic Year,Semester,Course Code,Course Title,Credits,Category,Description
2025-2026,Fall,EDCI 62800,Curriculum and Instruction Seminar I,1,C&I Department Seminars,"An examination of current issues and concerns related to doctoral study in Curriculum and Instruction. This course is intended for all new doctoral students in the Department of Curriculum and Instruction and should be taken within the first year of doctoral study. Typically offered Fall."
2025-2026,Fall,EDCI 62700,Critical Readings and Research in LDT,3,Core Ph.D. LDT Requirements,"A critical analysis of problems, trends, issues, and programs related to the area of learning design and technology. Prerequisite: EDCI 51300."
2025-2026,Fall,EDCI 67200,Advanced Instructional Development and Systems Technology,3,Core Ph.D. LDT Requirements,"This course focuses on the application of learning systems design to real-world educational situations through the in-depth consideration of key instructional design processes. Prerequisite: EDCI 57200."
2025-2026,Fall,EDCI 53100,Learning Theories and Instructional Design,3,Prerequisites,"This course has been designed to help you learn how theories of human learning and motivation can be applied to the instructional process. Typically offered Fall Spring Summer."
2025-2026,Spring,EDCI 63800,Curriculum and Instruction Seminar II,1,C&I Department Seminars,"This course consists of an examination of current educational research. Typically offered Spring."
2025-2026,Spring,EDCI 66000,Learning Design and Technology Seminar,1,Core Ph.D. LDT Requirements,"This course is an investigation of trends, developments, and issues in learning design and technology."
2025-2026,Spring,EDCI 61500,Qualitative Research Methods in Education,3,Educational Research - Qualitative,"Focuses on expanding graduate students' research skills to include knowledge of the theories and methods associated with qualitative research. Prerequisite: EDPS 53300."
2025-2026,Spring,EDCI 67400,Advanced Instructional Design Theory,3,Core Ph.D. LDT Requirements,"Examines the impact of both psychological learning theories and instructional applications upon the development of various instructional design theories."
2025-2026,Summer,EDCI 55201,AI Integration in Education,3,LDT Electives - Design,"This course aims to provide students with the knowledge and skills needed to understand and utilize Generative AI in education."
2026-2027,Fall,EDPS 55600,Introductory Statistics In Educational Research,3,Educational Research - Intro,"This online course is designed to provide an overview of introductory quantitative data analysis methods in education."
2026-2027,Fall,EDCI 67300,Issues and Methods in Learning Systems Design Research,3,Core Ph.D. LDT Requirements,"Provides preparation to conduct independent research in the field of learning design and technology."
2026-2027,Fall,EDCI 67600,Writing Literature Reviews,2,Core Ph.D. LDT Requirements,"This course is designed to introduce the learner to the process of analyzing and preparing literature reviews."
2026-2027,Spring,EDCI 67700,Writing Research Proposals,2,Core Ph.D. LDT Requirements,"This course is designed to introduce the novice researcher to the process of developing a research problem statement."
2026-2027,Summer,EDCI 69500,Internship in Learning Design and Technology,1,Core Ph.D. LDT Requirements,"A special course in selected areas of education, designed to provide practical field experience."
2027-2028,Fall,EDCI 69900,Research PhD Thesis,3,Dissertation Research,"Dissertation research. Permission of instructor required."
2027-2028,Spring,EDCI 69900,Research PhD Thesis,3,Dissertation Research,"Dissertation research. Permission of instructor required."
2028-2029,Fall,EDCI 69900,Research PhD Thesis,6,Dissertation Research,"Dissertation research. Permission of instructor required."
2028-2029,Spring,EDCI 69900,Research PhD Thesis,6,Dissertation Research,"Dissertation research. Permission of instructor required."